DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-06-12,37.54,130.0,10102.619047619048,9.0,193.57142857142858,4.9523809523809526,1.380952380952381
2013-06-13,37.54,130.0,10135.57142857143,9.0,194.86363636363637,6.2727272727272725,1.0
2013-06-14,37.54,130.0,10138.0,9.0,195.68421052631578,5.631578947368421,1.0
2013-06-15,37.54,130.0,10100.25,9.0,199.16666666666666,4.166666666666667,1.0
2013-06-16,37.54,130.0,10040.545454545454,9.0,202.95454545454547,3.6818181818181817,1.1363636363636365
2013-06-17,37.54,130.0,9993.478260869566,9.0,207.69565217391303,4.391304347826087,1.0
2013-06-18,37.54,130.0,9970.782608695652,9.0,204.45833333333334,4.875,1.0416666666666667
2013-06-19,37.54,130.0,10027.90909090909,9.0,210.04347826086956,5.913043478260869,1.173913043478261
2013-06-20,37.54,130.0,10057.40909090909,9.0,208.7826086956522,3.739130434782609,1.0
2013-06-21,37.54,130.0,10071.904761904761,9.0,209.71428571428572,4.380952380952381,1.2857142857142858
2013-06-22,37.54,130.0,10072.545454545454,9.0,212.52173913043478,5.826086956521739,1.2608695652173914
2013-06-23,37.54,130.0,10054.217391304348,9.0,211.33333333333334,5.875,0.9583333333333334
2013-06-24,37.54,130.0,10069.47619047619,9.0,217.41666666666666,5.0,0.25
2013-06-25,37.54,130.0,10062.375,9.0,213.79166666666666,3.9583333333333335,0.75
2013-06-26,37.54,130.0,10039.91304347826,9.0,217.75,4.291666666666667,1.0
2013-06-27,37.54,130.0,10066.636363636364,9.0,218.33333333333334,6.083333333333333,1.9583333333333333
2013-06-28,37.54,130.0,10084.578947368422,9.0,217.42105263157896,7.7894736842105265,3.473684210526316
2013-06-29,37.54,130.0,10130.47619047619,9.0,217.82608695652175,7.260869565217392,2.4347826086956523
2013-06-30,37.54,130.0,10108.619047619048,9.0,220.04166666666666,5.375,1.625
